Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos017,Uncompressed,45,2,485.568,255,255,255,84.854,0.847,123819.908,100,95880,1.684,0.594,0.935
Rep1,Pos017,Uncompressed,45,3,592.755,255,255,255,91.397,0.892,151152.494,100,117045,1.174,0.852,0.94
Rep1,Pos017,Uncompressed,45,4,355.136,255,255,255,70.941,0.887,90559.773,100,70125,1.111,0.9,0.92
Rep1,Pos017,Uncompressed,45,5,387.421,255,255,255,73.604,0.899,98792.479,100,76500,1.307,0.765,0.933
Rep1,Pos017,Uncompressed,45,6,349.971,255,255,255,73.604,0.812,89242.54,100,69105,1.511,0.662,0.917
Rep1,Pos017,Uncompressed,45,7,399.044,255,255,255,74.546,0.902,101756.254,100,78795,1.202,0.832,0.932
Rep1,Pos017,Uncompressed,45,8,477.82,255,255,255,84.854,0.834,121844.058,100,94350,1.569,0.638,0.926
Rep1,Pos018,Uncompressed,10,1,426.164,255,255,255,83.637,0.766,108671.727,100,84150,1.377,0.726,0.893
Rep1,Pos018,Uncompressed,10,2,377.09,255,255,255,71.721,0.921,96158.013,100,74460,1.077,0.929,0.953
Rep1,Pos018,Uncompressed,10,3,692.193,255,255,255,120.277,0.601,176509.23,100,136680,2.862,0.349,0.846
Rep1,Pos018,Uncompressed,15,1,400.336,255,255,255,74.935,0.896,102085.562,100,79050,1.068,0.937,0.945
Rep1,Pos018,Uncompressed,15,2,375.799,255,255,255,73.604,0.872,95828.705,100,74205,1.361,0.735,0.93
Rep1,Pos018,Uncompressed,15,3,652.16,255,255,255,100.098,0.818,166300.674,100,128775,1.338,0.747,0.92
Rep1,Pos018,Uncompressed,20,1,880.738,255,255,255,116.835,0.811,224588.237,100,173910,1.101,0.908,0.91
Rep1,Pos018,Uncompressed,20,2,592.755,255,255,255,94.221,0.839,151152.494,100,117045,1.469,0.681,0.917
Rep1,Pos018,Uncompressed,20,3,397.753,255,255,255,80.974,0.762,101426.946,100,78540,1.218,0.821,0.874
Rep1,Pos018,Uncompressed,20,4,462.323,255,255,255,82.03,0.863,117892.359,100,91290,1.584,0.631,0.935
Rep1,Pos018,Uncompressed,20,5,415.832,255,255,255,76.543,0.892,106037.261,100,82110,1.298,0.771,0.939
Rep1,Pos018,Uncompressed,20,6,525.602,255,255,255,86.851,0.876,134028.464,100,103785,1.254,0.797,0.929
Rep1,Pos018,Uncompressed,20,7,502.357,255,255,255,91.672,0.751,128100.915,100,99195,1.695,0.59,0.907
Rep1,Pos018,Uncompressed,20,8,641.828,255,255,255,112.955,0.632,163666.208,100,126735,2.721,0.368,0.911
Rep1,Pos018,Uncompressed,25,1,750.306,255,255,255,114.448,0.72,191328.102,100,148155,1.795,0.557,0.901
